,LEA CODE,LEA,Total Teachers,Leaving,Attrition Rate,ADM,Reduced,Free,Needy Perc,S:T Ratio,Total dropouts,Dropout Rate,Total #Acts committed,Acts per 1000 students,Total Expenditures (TOTALEXP) per Pupil (V33),Total Current Expenditures (TCURELSC) per Pupil (V33),Instructional Expenditures (E13) per Pupil (V33),American Indian/Alaska Native Students,Nat Amr Perc,Asian or Asian/Pacific Islander Students,Asian Perc,Hispanic Students,Hisp Perc,Black Students,Black Perc,White Students,White Perc,Hawaiian Nat./Pacific Isl. Students,Hawaiian Perc,Two or More Races Students,2 Plus perc,Total Revenue (TOTALREV) per Pupil (V33),Total Revenue - Federal Sources (TFEDREV) per Pupil (V33),Total Revenue - State Sources (TSTREV) per Pupil (V33),Total Revenue - Local Sources (TLOCREV) per Pupil (V33),Urban-centric Locale,Urban centric local number,groups
32,300,Davie,433,54,12.47,185,19,119,74.59,0.42,144,2.25,41,6.38,8527,8162,5268,16,8.648648649,42,22.7027027,791,427.5675676,401,216.7567568,5167,2792.972973,2,1.081081081,257,138.9189189,8328,862,5480,1987,41-Rural: Fringe,41,3
33,310,Duplin,612,107,17.48,6429,413,2559,46.23,10.0,28,3.46,52,5.58,9392,8620,5228,53,0.824389485,22,0.342199409,3489,54.26971535,2351,36.5686732,3440,53.50754394,3,0.046663555999999995,156,2.4265049,9302,1593,5913,1796,42-Rural: Distant,42,3
34,320,Durham,2287,461,20.16,9315,734,6309,75.61,3.9,36,4.85,351,10.88,11195,10267,6239,102,1.095008052,813,8.727858292999999,8078,86.72034353,16673,178.9908749,6404,68.74932904,37,0.39720880299999994,972,10.43478261,10443,1250,5252,3941,12-City: Mid-size,12,4
35,210,Edenton-Chowan,443,98,22.12,2220,156,1311,66.08,13.54,58,2.86,12,5.41,11066,10939,5894,2,0.09009009,10,0.45045045,118,5.315315315,989,44.54954955,1110,50.0,3,0.135135135,79,3.5585585589999997,10693,1356,7554,1783,42-Rural: Distant,42,4
36,330,Edgecombe,88,7,7.95,32263,1767,19486,65.87,81.89,57,2.18,53,8.03,9205,8583,4924,8,0.024796206,20,0.061990515,631,1.955800762,3972,12.31131637,2121,6.574094164,4,0.012398103,110,0.340947835,8982,1454,6197,1330,42-Rural: Distant,42,2
37,861,Elkin,3718,465,12.51,1194,63,452,43.13,3.07,322,3.21,0,0.0,9002,8756,5637,0,0.0,10,0.8375209379999999,227,19.01172529,41,3.433835846,913,76.46566164,0,0.0,37,3.0988274710000003,9276,981,5906,2388,32-Town: Distant,32,3
38,340,Forsyth-Winston Salem,573,116,20.24,6599,593,4792,81.6,74.99,86,4.04,393,7.45,9064,8477,5548,125,1.894226398,1234,18.699803,11736,177.84512800000002,15583,236.1418397,23070,349.598424,53,0.803151993,2080,31.51992726,8856,1035,5330,2491,12-City: Mid-size,12,4
39,350,Franklin,1852,251,13.55,52761,2845,26993,56.55,91.12,435,2.72,64,7.49,8540,8034,4873,36,0.068232217,40,0.07581357400000001,1264,2.3957089519999997,2651,5.024544645,4419,8.375504634,8,0.015162715,267,0.506055609,8546,877,5744,1926,41-Rural: Fringe,41,3
40,360,Gaston,138,20,14.49,8549,642,4630,61.67,4.49,117,4.31,109,3.52,8369,7534,4659,75,0.87729559,443,5.181892619,3110,36.378523799999996,6476,75.75154989,20466,239.39642059999997,16,0.187156393,1218,14.24728038,7737,1053,5066,1618,22-Suburb: Mid-size,22,3
41,370,Gates,88,9,10.23,30977,2096,16941,61.46,236.47,156,1.61,7,4.08,10868,10434,5765,5,0.016141008000000002,1,0.0032282020000000003,26,0.08393324099999999,646,2.085418214,1044,3.370242438,2,0.006456403,63,0.203376699,10878,1095,7575,2209,42-Rural: Distant,42,2
